# ==========================================================
# VladiMIR IP Blacklist — Full Database (CSV)
# Columns: ip,reason,source_server,date_added,source,duration
# Updated: 2026-06-10 15:55:01 | Total: 138 entries
# = Rooted by VladiMIR + AI | v.2026-06-10 | github.com/GinCz =
# ==========================================================
ip,reason,source_server,date_added,source,duration
103.127.30.137,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m49s
103.153.183.126,crowdsecurity/http-wordpress_wpconfig,109-RU-FirstVDS,2026-06-10,crowdsec,1h32m18s
103.154.62.14,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,165h44m18s
103.196.9.150,crowdsecurity/http-crawl-non_statics,222-EU-NetCup,2026-06-10,crowdsec,23h42m48s
103.215.74.60,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,46m8s
103.59.160.227,crowdsecurity/http-bf-wordpress_bf,109-RU-FirstVDS,2026-06-10,crowdsec,1h56m55s
104.164.126.83,crowdsecurity/http-crawl-non_statics,222-EU-NetCup,2026-06-10,crowdsec,21h40m11s
104.28.196.52,crowdsecurity/http-crawl-non_statics,222-EU-NetCup,2026-06-10,crowdsec,717h19m49s
112.32.139.125,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,11
113.190.252.123,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,23m9s
116.110.219.28,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,3h27m33s
116.110.219.28,crowdsecurity/ssh-bf,Alex-47,2026-06-10,crowdsec,2h38m0s
116.110.219.28,crowdsecurity/ssh-bf,Tatra-9,2026-06-10,crowdsec,2h37m21s
116.110.221.85,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,3h38m9s
117.203.104.74,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,3h19m15s
117.72.218.35,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,1h48m34s
118.145.213.25,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,6
129.212.238.200,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m48s
134.209.110.232,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m47s
135.136.0.117,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,718h58m25s
135.136.0.21,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,2h28m56s
135.136.0.87,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,2h21m25s
136.110.81.208,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,1h1m12s
138.197.154.112,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m50s
138.197.200.106,crowdsecurity/ssh-bf,Shahin-227,2026-06-10,crowdsec,3h32m38s
138.199.6.239,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h14m45s
141.98.253.203,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h28m30s
142.93.129.190,crowdsecurity/jira_cve-2021-26086,222-EU-NetCup,2026-06-10,crowdsec,21h40m29s
146.70.129.111,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h26m11s
146.70.174.27,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,58m8s
146.70.196.220,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h52m35s
151.252.135.188,crowdsecurity/ssh-bf,Shahin-227,2026-06-10,crowdsec,3h16m11s
157.15.40.76,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,718h8m38s
157.15.40.77,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,718h55m13s
157.245.1.7,crowdsecurity/ssh-bf,222-EU-NetCup,2026-06-10,crowdsec,41m27s
159.89.126.105,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m50s
164.152.18.216,crowdsecurity/http-cve-2021-41773,222-EU-NetCup,2026-06-10,crowdsec,22h42m38s
167.172.79.49,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m48s
167.71.239.213,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,3h39m7s
172.188.89.41,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,1h32m44s
173.249.255.88,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h11m30s
176.112.128.143,crowdsecurity/ssh-bf,Tatra-9,2026-06-10,crowdsec,3h35m38s
176.65.139.130,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,3h51m59s
176.65.139.246,crowdsecurity/ssh-bf,4Ton-237,2026-06-10,crowdsec,32m32s
178.176.224.83,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,21h33m58s
180.74.84.64,crowdsecurity/ssh-bf,SO-38,2026-06-10,crowdsec,2h41m30s
185.177.72.81,crowdsecurity/f5-big-ip-cve-2020-5902,109-RU-FirstVDS,2026-06-10,crowdsec,3h47m1s
185.209.199.142,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h45m36s
185.24.11.173,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h48m45s
185.241.208.20,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,719h26m41s
185.38.148.2,crowdsecurity/http-cve-2021-41773,222-EU-NetCup,2026-06-10,crowdsec,21h6m4s
186.116.53.254,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h36m29s
